actions,ground_truths,board_numbers,image_numbers
Grip,up,0,0
Grip,up,0,1
Grip,left,0,10
Grip,left,0,11
Grip,left,0,12
Grip,left,0,13
Grip,left,0,14
Grip,left,0,15
Grip,grip,0,16
Grip,up,0,2
Grip,up,0,3
Grip,up,0,4
Grip,up,0,5
Grip,up,0,6
Grip,up,0,7
Grip,left,0,8
Grip,left,0,9
Grip,up,1,0
Grip,up,1,1
Grip,left,1,10
Grip,left,1,11
Grip,left,1,12
Grip,left,1,13
Grip,left,1,14
Grip,left,1,15
Grip,left,1,16
Grip,left,1,17
Grip,grip,1,18
Grip,up,1,2
Grip,up,1,3
Grip,up,1,4
Grip,up,1,5
Grip,up,1,6
Grip,up,1,7
Grip,up,1,8
Grip,up,1,9
Grip,up,10,0
Grip,up,10,1
Grip,right,10,10
Grip,right,10,11
Grip,right,10,12
Grip,right,10,13
Grip,right,10,14
Grip,right,10,15
Grip,grip,10,16
Grip,up,10,2
Grip,up,10,3
Grip,up,10,4
Grip,up,10,5
Grip,up,10,6
Grip,up,10,7
Grip,up,10,8
Grip,up,10,9
Grip,down,100,0
Grip,down,100,1
Grip,left,100,10
Grip,left,100,11
Grip,left,100,12
Grip,left,100,13
Grip,left,100,14
Grip,left,100,15
Grip,grip,100,16
Grip,down,100,2
Grip,down,100,3
Grip,down,100,4
Grip,down,100,5
Grip,down,100,6
Grip,left,100,7
Grip,left,100,8
Grip,left,100,9
Grip,down,101,0
Grip,down,101,1
Grip,left,101,10
Grip,grip,101,11
Grip,down,101,2
Grip,down,101,3
Grip,down,101,4
Grip,down,101,5
Grip,down,101,6
Grip,left,101,7
Grip,left,101,8
Grip,left,101,9
Grip,up,102,0
Grip,up,102,1
Grip,up,102,2
Grip,up,102,3
Grip,up,102,4
Grip,up,102,5
Grip,right,102,6
Grip,right,102,7
Grip,grip,102,8
Grip,up,103,0
Grip,up,103,1
Grip,right,103,2
Grip,right,103,3
Grip,grip,103,4
Grip,down,104,0
Grip,down,104,1
Grip,down,104,2
Grip,down,104,3
Grip,right,104,4
Grip,grip,104,5
Grip,down,105,0
Grip,down,105,1
Grip,down,105,2
Grip,grip,105,3
Grip,up,106,0
Grip,up,106,1
Grip,right,106,2
Grip,right,106,3
Grip,right,106,4
Grip,right,106,5
Grip,right,106,6
Grip,right,106,7
Grip,right,106,8
Grip,grip,106,9
Grip,up,107,0
Grip,up,107,1
Grip,right,107,10
Grip,right,107,11
Grip,right,107,12
Grip,right,107,13
Grip,right,107,14
Grip,right,107,15
Grip,right,107,16
Grip,grip,107,17
Grip,up,107,2
Grip,up,107,3
Grip,up,107,4
Grip,up,107,5
Grip,up,107,6
Grip,up,107,7
Grip,up,107,8
Grip,up,107,9
Grip,right,108,0
Grip,right,108,1
Grip,right,108,2
Grip,right,108,3
Grip,grip,108,4
Grip,right,109,0
Grip,right,109,1
Grip,right,109,2
Grip,right,109,3
Grip,right,109,4
Grip,grip,109,5
Grip,up,11,0
Grip,up,11,1
Grip,up,11,2
Grip,up,11,3
Grip,right,11,4
Grip,right,11,5
Grip,right,11,6
Grip,right,11,7
Grip,grip,11,8
Grip,down,110,0
Grip,down,110,1
Grip,right,110,10
Grip,right,110,11
Grip,grip,110,12
Grip,down,110,2
Grip,down,110,3
Grip,down,110,4
Grip,down,110,5
Grip,right,110,6
Grip,right,110,7
Grip,right,110,8
Grip,right,110,9
Grip,down,111,0
Grip,down,111,1
Grip,right,111,2
Grip,right,111,3
Grip,right,111,4
Grip,grip,111,5
Grip,up,112,0
Grip,up,112,1
Grip,left,112,10
Grip,left,112,11
Grip,left,112,12
Grip,grip,112,13
Grip,up,112,2
Grip,left,112,3
Grip,left,112,4
Grip,left,112,5
Grip,left,112,6
Grip,left,112,7
Grip,left,112,8
Grip,left,112,9
Grip,up,113,0
Grip,up,113,1
Grip,left,113,10
Grip,left,113,11
Grip,left,113,12
Grip,left,113,13
Grip,left,113,14
Grip,left,113,15
Grip,grip,113,16
Grip,up,113,2
Grip,up,113,3
Grip,up,113,4
Grip,up,113,5
Grip,up,113,6
Grip,up,113,7
Grip,up,113,8
Grip,up,113,9
Grip,up,114,0
Grip,left,114,1
Grip,left,114,10
Grip,grip,114,11
Grip,left,114,2
Grip,left,114,3
Grip,left,114,4
Grip,left,114,5
Grip,left,114,6
Grip,left,114,7
Grip,left,114,8
Grip,left,114,9
Grip,up,115,0
Grip,left,115,1
Grip,left,115,2
Grip,left,115,3
Grip,left,115,4
Grip,left,115,5
Grip,left,115,6
Grip,left,115,7
Grip,left,115,8
Grip,grip,115,9
Grip,down,116,0
Grip,down,116,1
Grip,down,116,2
Grip,down,116,3
Grip,down,116,4
Grip,left,116,5
Grip,left,116,6
Grip,left,116,7
Grip,grip,116,8
Grip,down,117,0
Grip,down,117,1
Grip,left,117,10
Grip,left,117,11
Grip,left,117,12
Grip,left,117,13
Grip,left,117,14
Grip,grip,117,15
Grip,down,117,2
Grip,down,117,3
Grip,down,117,4
Grip,down,117,5
Grip,left,117,6
Grip,left,117,7
Grip,left,117,8
Grip,left,117,9
Grip,up,118,0
Grip,up,118,1
Grip,right,118,2
Grip,grip,118,3
Grip,up,119,0
Grip,up,119,1
Grip,right,119,10
Grip,grip,119,11
Grip,up,119,2
Grip,up,119,3
Grip,up,119,4
Grip,up,119,5
Grip,up,119,6
Grip,up,119,7
Grip,up,119,8
Grip,up,119,9
Grip,down,12,0
Grip,right,12,1
Grip,right,12,2
Grip,right,12,3
Grip,right,12,4
Grip,right,12,5
Grip,grip,12,6
Grip,down,120,0
Grip,down,120,1
Grip,down,120,2
Grip,down,120,3
Grip,grip,120,4
Grip,down,121,0
Grip,down,121,1
Grip,down,121,2
Grip,down,121,3
Grip,right,121,4
Grip,grip,121,5
Grip,up,122,0
Grip,up,122,1
Grip,up,122,2
Grip,up,122,3
Grip,right,122,4
Grip,right,122,5
Grip,grip,122,6
Grip,up,123,0
Grip,up,123,1
Grip,right,123,10
Grip,right,123,11
Grip,right,123,12
Grip,grip,123,13
Grip,up,123,2
Grip,up,123,3
Grip,up,123,4
Grip,up,123,5
Grip,up,123,6
Grip,right,123,7
Grip,right,123,8
Grip,right,123,9
Grip,down,124,0
Grip,right,124,1
Grip,right,124,2
Grip,right,124,3
Grip,right,124,4
Grip,right,124,5
Grip,right,124,6
Grip,grip,124,7
Grip,right,125,0
Grip,right,125,1
Grip,grip,125,2
Grip,down,126,0
Grip,down,126,1
Grip,right,126,2
Grip,right,126,3
Grip,right,126,4
Grip,right,126,5
Grip,right,126,6
Grip,right,126,7
Grip,grip,126,8
Grip,down,127,0
Grip,down,127,1
Grip,down,127,2
Grip,down,127,3
Grip,down,127,4
Grip,down,127,5
Grip,right,127,6
Grip,right,127,7
Grip,grip,127,8
Grip,up,128,0
Grip,up,128,1
Grip,left,128,10
Grip,left,128,11
Grip,left,128,12
Grip,left,128,13
Grip,left,128,14
Grip,left,128,15
Grip,grip,128,16
Grip,up,128,2
Grip,up,128,3
Grip,up,128,4
Grip,up,128,5
Grip,up,128,6
Grip,up,128,7
Grip,left,128,8
Grip,left,128,9
Grip,up,129,0
Grip,up,129,1
Grip,left,129,10
Grip,left,129,11
Grip,left,129,12
Grip,left,129,13
Grip,left,129,14
Grip,left,129,15
Grip,grip,129,16
Grip,up,129,2
Grip,up,129,3
Grip,up,129,4
Grip,up,129,5
Grip,up,129,6
Grip,left,129,7
Grip,left,129,8
Grip,left,129,9
Grip,up,13,0
Grip,right,13,1
Grip,right,13,2
Grip,right,13,3
Grip,grip,13,4
Grip,down,130,0
Grip,left,130,1
Grip,left,130,2
Grip,grip,130,3
Grip,left,131,0
Grip,left,131,1
Grip,left,131,2
Grip,left,131,3
Grip,left,131,4
Grip,left,131,5
Grip,left,131,6
Grip,left,131,7
Grip,grip,131,8
Grip,down,132,0
Grip,down,132,1
Grip,grip,132,10
Grip,left,132,2
Grip,left,132,3
Grip,left,132,4
Grip,left,132,5
Grip,left,132,6
Grip,left,132,7
Grip,left,132,8
Grip,left,132,9
Grip,down,133,0
Grip,down,133,1
Grip,left,133,10
Grip,grip,133,11
Grip,down,133,2
Grip,down,133,3
Grip,down,133,4
Grip,left,133,5
Grip,left,133,6
Grip,left,133,7
Grip,left,133,8
Grip,left,133,9
Grip,up,134,0
Grip,up,134,1
Grip,up,134,2
Grip,up,134,3
Grip,up,134,4
Grip,right,134,5
Grip,grip,134,6
Grip,up,135,0
Grip,up,135,1
Grip,up,135,2
Grip,up,135,3
Grip,up,135,4
Grip,left,135,5
Grip,grip,135,6
Grip,down,136,0
Grip,down,136,1
Grip,left,136,2
Grip,grip,136,3
Grip,down,137,0
Grip,down,137,1
Grip,down,137,2
