actions,ground_truths,board_numbers,image_numbers
up,up,0,0
right,up,0,1
grip,left,0,10
right,left,0,11
right,left,0,12
up,left,0,13
grip,left,0,14
up,left,0,15
grip,grip,0,16
right,up,0,2
grip,up,0,3
down,up,0,4
left,up,0,5
left,up,0,6
down,up,0,7
right,left,0,8
down,left,0,9
left,up,1,0
grip,up,1,1
down,left,1,10
right,left,1,11
grip,left,1,12
grip,left,1,13
right,left,1,14
right,left,1,15
down,left,1,16
right,left,1,17
down,grip,1,18
grip,up,1,2
up,up,1,3
right,up,1,4
left,up,1,5
right,up,1,6
down,up,1,7
down,up,1,8
up,up,1,9
up,up,10,0
right,up,10,1
grip,right,10,10
up,right,10,11
down,right,10,12
grip,right,10,13
grip,right,10,14
left,right,10,15
up,grip,10,16
left,up,10,2
right,up,10,3
up,up,10,4
grip,up,10,5
grip,up,10,6
left,up,10,7
grip,up,10,8
right,up,10,9
up,down,100,0
grip,down,100,1
down,left,100,10
right,left,100,11
down,left,100,12
left,left,100,13
grip,left,100,14
up,left,100,15
grip,grip,100,16
left,down,100,2
down,down,100,3
down,down,100,4
down,down,100,5
down,down,100,6
left,left,100,7
left,left,100,8
left,left,100,9
right,down,101,0
right,down,101,1
up,left,101,10
right,grip,101,11
grip,down,101,2
grip,down,101,3
down,down,101,4
right,down,101,5
up,down,101,6
grip,left,101,7
right,left,101,8
grip,left,101,9
up,up,102,0
up,up,102,1
grip,up,102,2
up,up,102,3
grip,up,102,4
left,up,102,5
grip,right,102,6
grip,right,102,7
right,grip,102,8
right,up,103,0
up,up,103,1
right,right,103,2
left,right,103,3
down,grip,103,4
grip,down,104,0
right,down,104,1
left,down,104,2
left,down,104,3
left,right,104,4
left,grip,104,5
down,down,105,0
grip,down,105,1
grip,down,105,2
grip,grip,105,3
up,up,106,0
grip,up,106,1
down,right,106,2
down,right,106,3
left,right,106,4
up,right,106,5
right,right,106,6
up,right,106,7
grip,right,106,8
left,grip,106,9
grip,up,107,0
right,up,107,1
up,right,107,10
up,right,107,11
left,right,107,12
left,right,107,13
up,right,107,14
up,right,107,15
up,right,107,16
grip,grip,107,17
grip,up,107,2
grip,up,107,3
up,up,107,4
up,up,107,5
left,up,107,6
up,up,107,7
up,up,107,8
left,up,107,9
left,right,108,0
grip,right,108,1
down,right,108,2
down,right,108,3
down,grip,108,4
down,right,109,0
right,right,109,1
left,right,109,2
down,right,109,3
left,right,109,4
down,grip,109,5
right,up,11,0
grip,up,11,1
right,up,11,2
grip,up,11,3
down,right,11,4
right,right,11,5
left,right,11,6
grip,right,11,7
right,grip,11,8
left,down,110,0
down,down,110,1
grip,right,110,10
up,right,110,11
down,grip,110,12
right,down,110,2
left,down,110,3
grip,down,110,4
left,down,110,5
down,right,110,6
right,right,110,7
grip,right,110,8
left,right,110,9
left,down,111,0
left,down,111,1
left,right,111,2
left,right,111,3
down,right,111,4
up,grip,111,5
right,up,112,0
up,up,112,1
left,left,112,10
down,left,112,11
grip,left,112,12
grip,grip,112,13
down,up,112,2
grip,left,112,3
down,left,112,4
up,left,112,5
up,left,112,6
grip,left,112,7
grip,left,112,8
grip,left,112,9
grip,up,113,0
down,up,113,1
up,left,113,10
down,left,113,11
grip,left,113,12
grip,left,113,13
right,left,113,14
up,left,113,15
left,grip,113,16
right,up,113,2
up,up,113,3
grip,up,113,4
down,up,113,5
down,up,113,6
left,up,113,7
grip,up,113,8
left,up,113,9
down,up,114,0
grip,left,114,1
grip,left,114,10
up,grip,114,11
grip,left,114,2
grip,left,114,3
left,left,114,4
right,left,114,5
up,left,114,6
grip,left,114,7
down,left,114,8
left,left,114,9
right,up,115,0
grip,left,115,1
right,left,115,2
right,left,115,3
left,left,115,4
left,left,115,5
up,left,115,6
left,left,115,7
down,left,115,8
left,grip,115,9
grip,down,116,0
left,down,116,1
down,down,116,2
down,down,116,3
down,down,116,4
grip,left,116,5
grip,left,116,6
up,left,116,7
left,grip,116,8
right,down,117,0
left,down,117,1
up,left,117,10
right,left,117,11
left,left,117,12
grip,left,117,13
left,left,117,14
down,grip,117,15
left,down,117,2
grip,down,117,3
right,down,117,4
up,down,117,5
right,left,117,6
left,left,117,7
left,left,117,8
left,left,117,9
up,up,118,0
down,up,118,1
left,right,118,2
up,grip,118,3
up,up,119,0
up,up,119,1
grip,right,119,10
left,grip,119,11
grip,up,119,2
left,up,119,3
up,up,119,4
grip,up,119,5
right,up,119,6
right,up,119,7
left,up,119,8
up,up,119,9
left,down,12,0
right,right,12,1
down,right,12,2
left,right,12,3
up,right,12,4
right,right,12,5
left,grip,12,6
right,down,120,0
down,down,120,1
grip,down,120,2
right,down,120,3
down,grip,120,4
down,down,121,0
grip,down,121,1
down,down,121,2
left,down,121,3
grip,right,121,4
up,grip,121,5
grip,up,122,0
left,up,122,1
right,up,122,2
left,up,122,3
right,right,122,4
up,right,122,5
right,grip,122,6
left,up,123,0
up,up,123,1
grip,right,123,10
up,right,123,11
right,right,123,12
right,grip,123,13
up,up,123,2
grip,up,123,3
up,up,123,4
down,up,123,5
up,up,123,6
up,right,123,7
grip,right,123,8
down,right,123,9
right,down,124,0
grip,right,124,1
left,right,124,2
left,right,124,3
up,right,124,4
right,right,124,5
left,right,124,6
left,grip,124,7
left,right,125,0
left,right,125,1
right,grip,125,2
left,down,126,0
grip,down,126,1
up,right,126,2
right,right,126,3
right,right,126,4
down,right,126,5
right,right,126,6
right,right,126,7
right,grip,126,8
down,down,127,0
left,down,127,1
up,down,127,2
grip,down,127,3
right,down,127,4
grip,down,127,5
down,right,127,6
up,right,127,7
left,grip,127,8
up,up,128,0
grip,up,128,1
down,left,128,10
left,left,128,11
grip,left,128,12
up,left,128,13
down,left,128,14
down,left,128,15
grip,grip,128,16
left,up,128,2
right,up,128,3
down,up,128,4
right,up,128,5
up,up,128,6
down,up,128,7
up,left,128,8
left,left,128,9
up,up,129,0
right,up,129,1
right,left,129,10
up,left,129,11
grip,left,129,12
down,left,129,13
down,left,129,14
left,left,129,15
up,grip,129,16
right,up,129,2
down,up,129,3
down,up,129,4
down,up,129,5
left,up,129,6
down,left,129,7
left,left,129,8
right,left,129,9
down,up,13,0
left,right,13,1
left,right,13,2
down,right,13,3
right,grip,13,4
grip,down,130,0
grip,left,130,1
grip,left,130,2
left,grip,130,3
up,left,131,0
down,left,131,1
up,left,131,2
grip,left,131,3
down,left,131,4
left,left,131,5
left,left,131,6
right,left,131,7
down,grip,131,8
grip,down,132,0
down,down,132,1
grip,grip,132,10
grip,left,132,2
right,left,132,3
up,left,132,4
up,left,132,5
down,left,132,6
right,left,132,7
right,left,132,8
up,left,132,9
up,down,133,0
up,down,133,1
right,left,133,10
up,grip,133,11
grip,down,133,2
down,down,133,3
left,down,133,4
down,left,133,5
grip,left,133,6
grip,left,133,7
right,left,133,8
left,left,133,9
grip,up,134,0
up,up,134,1
left,up,134,2
up,up,134,3
left,up,134,4
down,right,134,5
down,grip,134,6
down,up,135,0
right,up,135,1
up,up,135,2
left,up,135,3
grip,up,135,4
right,left,135,5
up,grip,135,6
left,down,136,0
left,down,136,1
up,left,136,2
down,grip,136,3
down,down,137,0
grip,down,137,1
down,down,137,2
up,down,137,3
left,down,137,4
left,down,137,5
grip,down,137,6
right,right,137,7
grip,grip,137,8
left,up,138,0
grip,up,138,1
grip,right,138,2
right,right,138,3
left,right,138,4
right,right,138,5
down,grip,138,6
right,up,139,0
down,up,139,1
left,right,139,10
grip,right,139,11
right,right,139,12
grip,grip,139,13
down,up,139,2
down,up,139,3
right,up,139,4
grip,up,139,5
grip,right,139,6
left,right,139,7
up,right,139,8
right,right,139,9
right,down,14,0
left,down,14,1
grip,down,14,2
left,down,14,3
up,down,14,4
right,down,14,5
left,right,14,6
down,right,14,7
down,right,14,8
left,grip,14,9
